term;tag;value;pstv;neut;ngtv;dunno;distortion
копать;NEUT;0.0;0.16;0.72;0.0;0.12;0.0
копаться;NEUT;-0.08;0.1553;0.5437;0.1942;0.1068;0.2796
копеечка;NEUT;0.4866;0.4153;0.4322;0.0678;0.0847;0.0789
копеечный;NEUT;-0.3016;0.165;0.3883;0.3495;0.0971;0.243
копейка;NEUT;0.1;0.2143;0.6429;0.0357;0.1071;0.0417
копилка;NEUT;0.5301;0.47;0.43;0.03;0.07;0.0319
копилочка;PSTV;0.7016;0.5686;0.3235;0.0294;0.0784;0.0309
копировальный;NEUT;0.0;0.16;0.64;0.04;0.16;0.05
копирование;NEUT;0.0769;0.2;0.64;0.0;0.16;0.0
копировать;NEUT;0.0604;0.2048;0.6867;0.0723;0.0361;0.0978
копить;NEUT;0.4923;0.43;0.44;0.05;0.08;0.0558
копиться;NEUT;0.0;0.1538;0.7308;0.0;0.1154;0.0
копия;NEUT;0.0;0.037;0.8148;0.037;0.1111;0.0741
копошение;NGTV;-0.4474;0.0777;0.4078;0.3495;0.165;0.0949
копошиться;NGTV;-0.4184;0.1188;0.4257;0.3663;0.0891;0.1573
копуша;NGTV;-0.81;0.04;0.23;0.54;0.19;0.043
копчение;NEUT;0.0;0.1786;0.7143;0.0714;0.0357;0.1
копчик;NEUT;0.2105;0.2596;0.5769;0.0288;0.1346;0.0321
копчёный;NEUT;0.3056;0.29;0.5;0.09;0.12;0.1179
копытное;NEUT;0.0;0.12;0.64;0.04;0.2;0.0533
копыто;NEUT;0.0;0.16;0.67;0.11;0.06;0.1856
копытце;NEUT;0.0;0.16;0.64;0.04;0.16;0.05
копьё;NEUT;-0.2768;0.05;0.54;0.29;0.12;0.0586
кора;NEUT;0.1696;0.2315;0.5741;0.037;0.1574;0.043
корабельный;NEUT;0.1;0.2;0.6;0.0;0.2;0.0
корабельщик;NEUT;0.0769;0.2;0.64;0.04;0.12;0.048
кораблекрушение;NGTV;-1.0;0.0667;0.0333;0.8667;0.0333;0.0718
кораблестроение;NEUT;0.5;0.4554;0.4554;0.0297;0.0594;0.0316
кораблик;NEUT;0.4767;0.42;0.45;0.02;0.11;0.021
корабль;NEUT;0.0;0.1154;0.8846;0.0;0.0;0.0
коралл;NEUT;0.0;0.16;0.72;0.0;0.12;0.0
коралловый;NEUT;0.3304;0.2981;0.4808;0.0385;0.1827;0.0434
коран;NEUT;0.4112;0.33;0.38;0.11;0.18;0.1467
кореец;NEUT;0.0;0.0;1.0;0.0;0.0;0.0
корейский;NEUT;0.0;0.0;1.0;0.0;0.0;0.0
корень;NEUT;0.0;0.16;0.64;0.04;0.16;0.05
кореш;PSTV;0.9;0.6316;0.2105;0.0526;0.1053;0.057
корешок;NEUT;0.1783;0.2524;0.6117;0.0291;0.1068;0.0325
кореянка;NEUT;0.0;0.0;1.0;0.0;0.0;0.0
коржик;PSTV;0.6074;0.49;0.36;0.04;0.11;0.0433
корзина;NEUT;0.1;0.2136;0.6408;0.0485;0.0971;0.0596
корзинка;NEUT;0.2949;0.2925;0.5189;0.0472;0.1415;0.0548
корзиночка;NEUT;0.3636;0.38;0.56;0.01;0.05;0.0103
коридор;NEUT;0.0;0.0385;0.8462;0.0385;0.0769;0.0769
коридорчик;NEUT;0.316;0.2957;0.4957;0.0522;0.1565;0.0614
корица;NEUT;0.4389;0.41;0.49;0.02;0.08;0.021
коричневатый;NEUT;0.0;0.0;0.8276;0.069;0.1034;0.0
коричневый;NEUT;0.0;0.12;0.68;0.04;0.16;0.0533
корка;NEUT;0.0556;0.1786;0.6071;0.0714;0.1429;0.1
корм;NEUT;0.436;0.39;0.47;0.06;0.08;0.0692
кормилец;PSTV;1.0;0.7143;0.1429;0.0;0.1429;0.0
кормилица;PSTV;1.0;0.8333;0.1;0.0667;0.0;0.072
кормить;PSTV;0.7143;0.5941;0.3267;0.0297;0.0495;0.0312
кормиться;NEUT;0.3304;0.3204;0.4078;0.1359;0.1359;0.1936
кормление;PSTV;0.6778;0.5596;0.3394;0.0275;0.0734;0.0289
кормушка;NEUT;0.5488;0.4412;0.3824;0.049;0.1275;0.0545
кормёжка;NEUT;0.3985;0.3504;0.4359;0.1197;0.094;0.1605
корневой;NEUT;0.0;0.0667;0.6667;0.1333;0.1333;0.1
корнеплод;NEUT;0.1;0.2308;0.6923;0.0385;0.0385;0.0449
коробка;NEUT;0.0;0.1154;0.7692;0.0;0.1154;0.0
коробок;NEUT;0.1;0.2258;0.6774;0.0645;0.0323;0.0829
коробочка;NEUT;0.2431;0.27;0.55;0.06;0.12;0.0733
корова;NEUT;0.4213;0.39;0.49;0.06;0.06;0.0692
коровий;NEUT;-0.0217;0.0645;0.4839;0.129;0.3226;0.0968
коровка;PSTV;0.7435;0.5644;0.2871;0.0297;0.1188;0.0313
коровёнка;NEUT;0.3062;0.3;0.33;0.14;0.23;0.2053
короед;NGTV;-0.5263;0.07;0.37;0.4;0.16;0.0822
королева;NEUT;0.4773;0.4057;0.434;0.066;0.0943;0.0768
королевич;NEUT;0.2895;0.25;0.45;0.11;0.19;0.1584
королевский;PSTV;0.622;0.4857;0.3429;0.0571;0.1143;0.0639
королевство;NEUT;0.4923;0.4216;0.4314;0.049;0.098;0.0547
король;NEUT;0.4065;0.3889;0.5093;0.0648;0.037;0.0756
корона;NEUT;0.4524;0.396;0.4554;0.0495;0.099;0.0557
коронация;PSTV;0.7232;0.5347;0.2871;0.0594;0.1188;0.066
коронный;PSTV;0.775;0.6139;0.2871;0.0396;0.0594;0.0422
коротать;NEUT;0.2431;0.2673;0.5446;0.0891;0.099;0.1188
коротенький;NEUT;-0.0209;0.1667;0.5;0.1765;0.1569;0.3241
короткий;NEUT;0.0;0.1171;0.6036;0.1441;0.1351;0.2123
короткометражный;NEUT;0.0;0.04;0.92;0.04;0.0;0.08
коротконогий;NGTV;-0.3743;0.0621;0.5034;0.3517;0.0828;0.073
короткохвостый;NEUT;0.0;0.04;0.72;0.12;0.12;0.0533
короткошёрстный;NEUT;0.0;0.1034;0.7586;0.0345;0.1034;0.046
коротыш;NEUT;-0.262;0.1524;0.3905;0.2952;0.1619;0.231
коротышка;NGTV;-0.386;0.1165;0.4272;0.3301;0.1262;0.1576
корочка;NEUT;0.2573;0.2524;0.4951;0.1165;0.1359;0.1703
корпоратив;PSTV;0.6818;0.5;0.3;0.11;0.09;0.1342
корпоративность;NEUT;0.4823;0.37;0.39;0.08;0.16;0.0973
корпоративный;NEUT;0.34;0.3333;0.5238;0.0476;0.0952;0.0544
корпус;NEUT;0.0833;0.2258;0.7097;0.0;0.0645;0.0
корректировать;PSTV;0.6;0.48;0.36;0.04;0.12;0.0433
корректировщик;NEUT;0.4328;0.37;0.45;0.04;0.14;0.0443
корректность;PSTV;0.7619;0.5872;0.2844;0.0367;0.0917;0.039
корректный;PSTV;0.9643;0.6923;0.1923;0.0385;0.0769;0.0406
корректор;NEUT;0.3447;0.2843;0.4412;0.098;0.1765;0.1318
коррекция;PSTV;0.6026;0.4608;0.3431;0.049;0.1471;0.0542
корреспондент;NEUT;0.0;0.1724;0.7586;0.069;0.0;0.0966
корреспондентка;NEUT;0.0921;0.2143;0.6571;0.0286;0.1;0.0324
корреспондировать;NEUT;0.0217;0.1333;0.5;0.0667;0.3;0.1
коррумпированность;NGTV;-1.0;0.04;0.04;0.68;0.24;0.0424
коррупционер;NGTV;-1.0;0.0;0.12;0.56;0.32;0.0
коррупция;NGTV;-1.0;0.0333;0.0333;0.9;0.0333;0.0346
корсар;NEUT;-0.3429;0.1;0.35;0.25;0.3;0.14
корточки;NEUT;0.1471;0.2178;0.5743;0.0297;0.1782;0.0338
корчить;NGTV;-1.0;0.0323;0.1613;0.7097;0.0968;0.0337
корчиться;NGTV;-0.9167;0.0833;0.1944;0.6111;0.1111;0.0947
коршун;NEUT;-0.2;0.1373;0.4706;0.2353;0.1569;0.2173
корыстный;NGTV;-1.0;0.0741;0.037;0.7778;0.1111;0.0811
корысть;NGTV;-0.9706;0.087;0.1739;0.6377;0.1014;0.0988
корыто;NEUT;0.0;0.1154;0.7308;0.0385;0.1154;0.0513
корытце;NEUT;0.2156;0.2574;0.5644;0.0495;0.1287;0.059
корь;NGTV;-1.0;0.0851;0.1489;0.5957;0.1702;0.0973
корявость;NGTV;-0.9444;0.04;0.2;0.68;0.08;0.0424
корявый;NGTV;-0.9;0.08;0.2;0.6;0.12;0.0907
косарь;NEUT;0.3889;0.3077;0.4231;0.0673;0.2019;0.082
косатка;NEUT;0.2679;0.2871;0.5149;0.1386;0.0594;0.2055
косилка;NEUT;0.0357;0.2;0.72;0.04;0.04;0.048
косить;NEUT;-0.0481;0.0865;0.6346;0.1827;0.0962;0.1275
коситься;NGTV;-0.9231;0.04;0.2;0.64;0.12;0.0425
косичка;NEUT;0.3049;0.3173;0.5481;0.0288;0.1058;0.0315
косметика;NEUT;0.1;0.2;0.6;0.04;0.16;0.048
косметический;NEUT;0.0;0.1429;0.7857;0.0;0.0714;0.0
косметичка;NEUT;0.0357;0.1923;0.6923;0.0;0.1154;0.0
косметолог;NEUT;0.398;0.3577;0.4797;0.065;0.0976;0.0769
косметология;NEUT;0.4091;0.3571;0.4643;0.0446;0.1339;0.0502
космический;NEUT;0.4;0.375;0.5;0.0385;0.0865;0.0424
космодром;NEUT;0.0769;0.1923;0.6154;0.0385;0.1538;0.0462
космолёт;NEUT;0.381;0.3663;0.5149;0.0198;0.099;0.0209
космонавт;PSTV;0.5652;0.4952;0.4095;0.0;0.0952;0.0
космонавтика;PSTV;0.5821;0.4815;0.3796;0.037;0.1019;0.0399
космополит;NEUT;0.1628;0.1869;0.3738;0.1215;0.3178;0.2005
космополитизм;NEUT;0.1395;0.1923;0.3462;0.1346;0.3269;0.2288
космополитический;NEUT;0.2765;0.2136;0.3981;0.0777;0.3107;0.1059
космополитка;NEUT;0.129;0.1667;0.3824;0.1176;0.3333;0.2007
космос;NEUT;0.3797;0.3786;0.534;0.0194;0.068;0.0204
коснуться;NEUT;0.1729;0.2376;0.5842;0.0693;0.1089;0.0895
косоглазый;NGTV;-0.7432;0.0693;0.2772;0.5446;0.1089;0.0781
косолапить;NGTV;-0.9783;0.0385;0.1538;0.5769;0.2308;0.041
косолапость;NGTV;-0.9643;0.0385;0.1923;0.6923;0.0769;0.0406
косолапый;NGTV;-0.412;0.0476;0.4667;0.3619;0.1238;0.0539
костлявость;NGTV;-0.7286;0.1;0.27;0.51;0.12;0.1196
костлявый;NGTV;-0.7441;0.0367;0.2936;0.578;0.0917;0.039
костоправ;NEUT;0.3216;0.29;0.31;0.13;0.27;0.1883
косточка;NEUT;0.1;0.1935;0.5806;0.0;0.2258;0.0
кострище;NEUT;0.0;0.0667;0.5333;0.1333;0.2667;0.1
костыль;NEUT;-0.2512;0.14;0.43;0.27;0.16;0.2126
кость;NEUT;0.0357;0.1724;0.6207;0.069;0.1379;0.0966
костюм;NEUT;0.2934;0.32;0.57;0.04;0.07;0.045
костюмерный;NEUT;0.0;0.04;0.84;0.0;0.12;0.0
костюмерша;NEUT;0.2838;0.2871;0.5248;0.0594;0.1287;0.0717
костюмчик;PSTV;0.5806;0.4752;0.3762;0.0693;0.0792;0.0794
костёр;NEUT;0.2059;0.2593;0.5833;0.0833;0.0741;0.1101
костёрчик;NEUT;0.4302;0.396;0.4851;0.0495;0.0693;0.0557
косы;NEUT;0.0;0.04;0.76;0.08;0.12;0.06
косынка;NEUT;0.0854;0.2162;0.6757;0.027;0.0811;0.0304
косыночка;NEUT;0.4211;0.35;0.44;0.06;0.15;0.0703
кот;PSTV;0.7162;0.5096;0.2788;0.0962;0.1154;0.1143
котелок;NEUT;0.2706;0.28;0.53;0.08;0.11;0.1029
котельщик;NEUT;0.1477;0.1845;0.4854;0.1068;0.2233;0.1686
котик;PSTV;1.0;0.84;0.12;0.0;0.04;0.0
котлета;PSTV;0.7105;0.54;0.3;0.04;0.12;0.043
котлетка;PSTV;0.9;0.6207;0.2069;0.069;0.1034;0.0766
котлетный;NEUT;0.25;0.2719;0.5439;0.0526;0.1316;0.0628
котэ;NEUT;0.5467;0.3824;0.3333;0.049;0.2353;0.0553
котяра;NEUT;0.2078;0.4135;0.1538;0.2981;0.1346;0.513
котёл;NEUT;0.0;0.129;0.7097;0.0645;0.0968;0.0968
котёнок;PSTV;0.9;0.72;0.24;0.0;0.04;0.0
котёночек;PSTV;1.0;0.7692;0.1923;0.0385;0.0;0.0404
кофе;NEUT;0.3346;0.3491;0.5566;0.0283;0.066;0.0306
кофеварка;NEUT;0.3511;0.3604;0.5495;0.027;0.0631;0.0291
кофеин;NEUT;0.1635;0.2233;0.5631;0.1359;0.0777;0.2187
кофейник;NEUT;0.0769;0.1923;0.6154;0.0;0.1923;0.0
кофейный;NEUT;0.1885;0.2353;0.5546;0.0336;0.1765;0.0384
кофейня;NEUT;0.5308;0.46;0.42;0.04;0.08;0.0435
кофемашина;NEUT;0.3662;0.3596;0.5263;0.0439;0.0702;0.0492
кофемолка;NEUT;0.3015;0.3431;0.598;0.0294;0.0294;0.0319
кофеёк;PSTV;0.9;0.6563;0.2188;0.0625;0.0625;0.0685
кофта;NEUT;0.1;0.2143;0.6429;0.0;0.1429;0.0
кофточка;NEUT;0.35;0.3366;0.5149;0.0297;0.1188;0.0323
кочевница;NEUT;0.0;0.1386;0.5545;0.099;0.2079;0.1697
кочерыжка;NEUT;-0.0357;0.0714;0.6429;0.1786;0.1071;0.1
кочка;NEUT;-0.2881;0.0463;0.5185;0.287;0.1481;0.0538
кошак;NEUT;0.15;0.3168;0.2871;0.2277;0.1683;0.3914
кошара;NGTV;-0.4074;0.18;0.26;0.4;0.16;0.261
кошатник;NEUT;0.2426;0.2475;0.505;0.1188;0.1287;0.1758
кошачий;NEUT;0.3293;0.3366;0.5446;0.0297;0.0891;0.0323
кошелёк;NEUT;0.2565;0.2843;0.5588;0.0882;0.0686;0.1156
кошелёчек;PSTV;0.5769;0.5;0.4;0.02;0.08;0.0208
кошерный;NEUT;0.3351;0.3069;0.2475;0.1485;0.297;0.2204
кошечка;PSTV;0.9;0.6818;0.2273;0.0227;0.0682;0.0235
кошка;PSTV;0.5637;0.5043;0.4188;0.0342;0.0427;0.0365
кошмар;NGTV;-1.0;0.1287;0.0891;0.7228;0.0594;0.1516
кошмарный;NGTV;-1.0;0.04;0.04;0.92;0.0;0.0417
кощей;NGTV;-1.0;0.08;0.12;0.72;0.08;0.0889
краб;NEUT;0.1944;0.2427;0.5631;0.0583;0.1359;0.0722
крабовый;NEUT;0.0;0.0769;0.8077;0.0385;0.0769;0.0577
краденый;NGTV;-1.0;0.04;0.04;0.88;0.04;0.0418
краеугольный;NEUT;0.1;0.1587;0.4762;0.0635;0.3016;0.0889
краешек;NEUT;0.2273;0.24;0.51;0.09;0.16;0.1238
кража;NGTV;-1.0;0.0357;0.0;0.9286;0.0357;0.0371
край;NEUT;0.0777;0.2039;0.5243;0.165;0.1068;0.2987
крайний;NEUT;-0.1328;0.1638;0.4914;0.2328;0.1121;0.2791
крайность;NEUT;-0.3103;0.1471;0.3922;0.3235;0.1373;0.2139
кран;NEUT;0.0;0.1154;0.7308;0.0385;0.1154;0.0513
краник;NEUT;0.1;0.2143;0.6429;0.0357;0.1071;0.0417
крановщик;NEUT;0.0;0.04;0.68;0.08;0.2;0.06
крапива;NEUT;-0.2609;0.1485;0.495;0.297;0.0594;0.2228
крапивница;NGTV;-0.5976;0.0952;0.3524;0.4667;0.0857;0.1147
крапивный;NEUT;-0.2178;0.14;0.46;0.25;0.15;0.2184
красава;PSTV;0.9;0.6176;0.2059;0.0294;0.1471;0.0308
красавец;PSTV;1.0;0.72;0.16;0.08;0.04;0.0889
красавица;PSTV;1.0;0.8462;0.1154;0.0385;0.0;0.0402
красавчик;PSTV;1.0;0.6667;0.1111;0.037;0.1852;0.0391
красивейший;PSTV;1.0;0.871;0.0645;0.0323;0.0323;0.0335
красивость;PSTV;1.0;0.5856;0.1261;0.1081;0.1802;0.1281
красивый;PSTV;1.0;0.8966;0.0345;0.0;0.069;0.0
краситель;NEUT;0.1;0.1864;0.5593;0.0508;0.2034;0.0647
красить;NEUT;0.3571;0.3462;0.5192;0.0385;0.0962;0.0427
краситься;NEUT;0.3605;0.3663;0.5446;0.0198;0.0693;0.0209
краска;NEUT;0.1754;0.259;0.6325;0.0181;0.0904;0.0193
краснеть;NEUT;0.0;0.17;0.57;0.17;0.09;0.34
красноватый;NEUT;0.0;0.1475;0.6721;0.0656;0.1148;0.0947
красноглазый;NGTV;-0.5;0.0686;0.3922;0.3922;0.1471;0.0806
краснолицый;NEUT;0.0;0.0;1.0;0.0;0.0;0.0
красноносый;NEUT;-0.1905;0.1765;0.4216;0.2843;0.1176;0.286
красноречивость;PSTV;0.9;0.6452;0.2151;0.0753;0.0645;0.0841
краснота;NEUT;-0.3333;0.1068;0.466;0.2913;0.1359;0.146
краснощёкий;NEUT;0.3108;0.2857;0.4857;0.0857;0.1429;0.1114
красные;NEUT;0.0386;0.198;0.5446;0.1782;0.0792;0.3386
красный;NEUT;-0.1639;0.1727;0.4727;0.2636;0.0909;0.2859
красоваться;NEUT;0.031;0.29;0.34;0.27;0.1;0.5214
красота;PSTV;1.0;0.76;0.16;0.0;0.08;0.0
красотища;PSTV;1.0;0.8462;0.0385;0.0769;0.0385;0.0839
красотка;PSTV;0.9643;0.72;0.2;0.04;0.04;0.0422
красочка;PSTV;0.9286;0.52;0.16;0.0;0.32;0.0
красочность;PSTV;1.0;0.8;0.2;0.0;0.0;0.0
красочный;PSTV;0.9828;0.7308;0.1923;0.0;0.0769;0.0
красть;NGTV;-1.0;0.0385;0.0385;0.8077;0.1154;0.0403
красться;NEUT;-0.0172;0.0714;0.6786;0.1786;0.0714;0.1
краткий;NEUT;0.1;0.2;0.6;0.0667;0.1333;0.0889
кратковременный;NEUT;0.0;0.08;0.76;0.0;0.16;0.0
краткость;NEUT;0.0;0.1481;0.8148;0.0;0.037;0.0
кратность;NEUT;0.0;0.1429;0.7143;0.0;0.1429;0.0
крах;NGTV;-1.0;0.04;0.08;0.84;0.04;0.0419
крахмал;NEUT;0.0625;0.2308;0.7692;0.0;0.0;0.0
крахмалить;NEUT;0.2264;0.27;0.44;0.15;0.14;0.2333
крашеный;NEUT;0.0844;0.2;0.6267;0.0533;0.12;0.0676
креатив;PSTV;0.9;0.7241;0.2414;0.0345;0.0;0.0361
креативность;PSTV;1.0;0.7692;0.1538;0.0385;0.0385;0.0404
креветка;NEUT;0.3852;0.36;0.5;0.02;0.12;0.0211
кредит;NGTV;-0.4779;0.15;0.31;0.42;0.12;0.2036
кредитка;NEUT;0.0745;0.2143;0.6905;0.0714;0.0238;0.0952
кредитный;NGTV;-0.4464;0.1038;0.3868;0.3491;0.1604;0.1346
кредитор;NEUT;-0.25;0.1078;0.4902;0.2451;0.1569;0.1553
кредиторский;NEUT;0.0;0.0385;0.7308;0.1154;0.1154;0.0513
крекер;NEUT;0.425;0.3663;0.4554;0.0792;0.099;0.0963
крем;NEUT;0.3333;0.3398;0.5437;0.0194;0.0971;0.0205
крем-брюле;PSTV;0.6864;0.5347;0.3168;0.0099;0.1386;0.0101
кремировать;NEUT;-0.303;0.12;0.42;0.27;0.19;0.1733
кремль;NEUT;0.375;0.35;0.5;0.05;0.1;0.0571
кремлёвский;NEUT;0.1111;0.19;0.48;0.14;0.19;0.2432
кремний;NEUT;0.1;0.1967;0.5902;0.0164;0.1967;0.0178
крендель;NEUT;0.5256;0.41;0.38;0.09;0.12;0.1098
кренделёк;PSTV;0.6282;0.4804;0.3333;0.0686;0.1176;0.0784
крениться;NGTV;-0.4063;0.0392;0.3725;0.2843;0.3039;0.0446
крепенький;PSTV;0.9;0.6;0.2;0.0667;0.1333;0.0741
крепить;NEUT;0.0806;0.1935;0.6129;0.0323;0.1613;0.0376
крепиться;PSTV;0.5973;0.45;0.34;0.09;0.12;0.108
крепкий;PSTV;0.629;0.5149;0.3564;0.0396;0.0891;0.0427
крепко-накрепко;PSTV;0.5611;0.4757;0.3981;0.0485;0.0777;0.0535
крепкоголовый;PSTV;0.7308;0.456;0.24;0.112;0.192;0.1395
крепколобый;NEUT;-0.087;0.2115;0.3269;0.2596;0.2019;0.3839
крепкость;PSTV;0.657;0.5196;0.3333;0.0294;0.1176;0.0311
крепление;NEUT;0.1;0.24;0.72;0.0;0.04;0.0
креплёный;NEUT;0.2759;0.2885;0.5385;0.0192;0.1538;0.0205
крепнуть;PSTV;1.0;0.8;0.08;0.04;0.08;0.042
крепость;NEUT;0.398;0.3729;0.5;0.0339;0.0932;0.037
крепчать;PSTV;0.9;0.5769;0.1923;0.0385;0.1923;0.041
крепыш;PSTV;1.0;0.75;0.1786;0.0;0.0714;0.0
крепёж;NEUT;0.3421;0.3168;0.495;0.0891;0.099;0.1142
кресло;NEUT;0.0;0.1724;0.6897;0.069;0.069;0.0966
крест;NEUT;0.0741;0.219;0.4571;0.181;0.1429;0.3304
крестик;NEUT;0.3915;0.3465;0.4653;0.1188;0.0693;0.1595
крестины;PSTV;0.6064;0.38;0.28;0.09;0.25;0.1113
креститель;NEUT;0.1;0.2;0.6;0.0;0.2;0.0
крестить;NEUT;0.3793;0.3366;0.4752;0.0693;0.1188;0.0836
креститься;PSTV;0.6193;0.4455;0.3168;0.1089;0.1287;0.1355
крестник;PSTV;0.6026;0.47;0.35;0.04;0.14;0.0434
крестница;PSTV;0.5806;0.4752;0.3762;0.0495;0.099;0.0547
крестный;NEUT;0.54;0.45;0.4;0.02;0.13;0.0209
крестьянин;NEUT;0.0;0.12;0.72;0.0;0.16;0.0
крестьянка;NEUT;0.0;0.1333;0.7;0.0667;0.1;0.1
крестьянство;NEUT;0.2383;0.2613;0.5315;0.1351;0.0721;0.205
крещение;PSTV;0.9419;0.6;0.1778;0.0444;0.1778;0.0477
кривая;NGTV;-0.3824;0.0583;0.4757;0.3398;0.1262;0.0682
кривиться;NGTV;-0.9;0.0513;0.2308;0.6923;0.0256;0.0551
кривляка;NGTV;-0.9;0.0;0.2308;0.6923;0.0769;0.0
кривляние;NGTV;-0.9;0.0781;0.2031;0.6094;0.1094;0.0881
кривлянье;NGTV;-0.9444;0.075;0.1875;0.6375;0.1;0.0838
кривляться;NGTV;-0.9194;0.0357;0.2143;0.6786;0.0714;0.0376
кривоватый;NGTV;-0.6732;0.0577;0.3365;0.5481;0.0577;0.0638
кривоногий;NGTV;-1.0;0.0;0.1481;0.8519;0.0;0.0
криворукий;NGTV;-1.0;0.0385;0.1538;0.6923;0.1154;0.0406
кризис;NGTV;-1.0;0.0741;0.0741;0.8148;0.037;0.0808
кризисный;NGTV;-1.0;0.0882;0.1176;0.7353;0.0588;0.0988
крик;NGTV;-0.55;0.11;0.38;0.44;0.07;0.1375
крикливость;NGTV;-1.0;0.0769;0.1154;0.6923;0.1154;0.0855
крикливый;NGTV;-1.0;0.0357;0.1429;0.7857;0.0357;0.0373
крикнуть;NEUT;-0.1509;0.09;0.6;0.23;0.08;0.1252
крикун;NGTV;-0.96;0.0862;0.1552;0.5517;0.2069;0.0997
криминал;NGTV;-1.0;0.0;0.0385;0.8846;0.0769;0.0
криминалист;NEUT;-0.1181;0.1887;0.4623;0.2547;0.0943;0.3284
криминалистический;NGTV;-0.7432;0.0792;0.2772;0.5446;0.099;0.0907
криминальный;NGTV;-1.0;0.0769;0.1154;0.8077;0.0;0.0842
кристалл;NEUT;0.4318;0.402;0.4902;0.0392;0.0686;0.043
кристаллик;NEUT;0.4462;0.3942;0.4615;0.0385;0.1058;0.0422
кристаллический;NEUT;0.0294;0.2;0.7333;0.0;0.0667;0.0
кристальность;PSTV;0.6522;0.5217;0.3391;0.0348;0.1043;0.0371
кристальный;PSTV;0.6667;0.5545;0.3465;0.0198;0.0792;0.0205
критерий;NEUT;0.0644;0.181;0.6;0.1143;0.1048;0.1865
критика;NEUT;-0.2249;0.1881;0.4059;0.3267;0.0792;0.2964
критиковать;NGTV;-0.612;0.1132;0.3491;0.4811;0.0566;0.1398
критически;NGTV;-0.7647;0.12;0.25;0.52;0.11;0.1477
критический;NGTV;-0.5787;0.068;0.3786;0.4757;0.0777;0.0777
критичность;NGTV;-0.3953;0.1308;0.3832;0.3645;0.1215;0.1778
кричать;NGTV;-0.5301;0.1121;0.3645;0.4206;0.1028;0.1421
кров;PSTV;0.6466;0.5;0.33;0.04;0.13;0.0432
кроваво-красный;NEUT;-0.186;0.1415;0.5189;0.2358;0.1038;0.2264
кровавый;NGTV;-0.9;0.0685;0.1918;0.5753;0.1644;0.0766
кроватка;PSTV;0.7222;0.619;0.3333;0.0286;0.019;0.0299
кроватный;NEUT;0.0625;0.1622;0.5405;0.027;0.2703;0.0315
кровать;PSTV;0.6298;0.5446;0.3762;0.0198;0.0594;0.0205
кровеносный;NEUT;0.3491;0.2941;0.451;0.0686;0.1863;0.0846
кровинка;PSTV;0.9;0.6667;0.2222;0.037;0.0741;0.0391
кровища;NGTV;-1.0;0.0357;0.1071;0.7143;0.1429;0.0375
кровный;NEUT;0.4462;0.3475;0.4068;0.0847;0.161;0.1054
кровожадный;NGTV;-0.9643;0.0385;0.1923;0.6923;0.0769;0.0406
кровоизлияние;NGTV;-0.9;0.0789;0.2105;0.6316;0.0789;0.0888
кровообращение;NEUT;0.4921;0.42;0.43;0.05;0.1;0.056
кровопийца;NGTV;-1.0;0.0;0.12;0.84;0.04;0.0
кровопролитный;NGTV;-0.9643;0.0;0.2;0.72;0.08;0.0
кровопускание;NGTV;-0.689;0.1262;0.2621;0.4757;0.1359;0.1597
кровосмешение;NGTV;-0.8368;0.125;0.2019;0.5096;0.1635;0.1557
кровосос;NGTV;-1.0;0.0357;0.1429;0.6786;0.1429;0.0376
кровотечение;NGTV;-1.0;0.0;0.0714;0.8929;0.0357;0.0
кровоточить;NGTV;-0.9828;0.0;0.2;0.76;0.04;0.0
кровушка;NEUT;0.4813;0.3942;0.3654;0.1154;0.125;0.1492
кровь;NEUT;0.0201;0.1759;0.4722;0.1667;0.1852;0.3246
кроить;NEUT;0.0;0.12;0.6;0.04;0.24;0.0533
крокодил;NEUT;-0.0362;0.1818;0.4818;0.2;0.1364;0.3471
крокодилий;NEUT;-0.0769;0.0667;0.5333;0.1667;0.2333;0.0933
крокодильчик;PSTV;0.6743;0.49;0.3;0.1;0.11;0.1204
кролик;PSTV;0.7174;0.5446;0.297;0.0198;0.1386;0.0205
кроличий;NEUT;0.0;0.1852;0.7778;0.0;0.037;0.0
крольчонок;PSTV;0.9167;0.6111;0.1944;0.0556;0.1389;0.0606
кромешный;NGTV;-0.6667;0.0841;0.2804;0.4486;0.1869;0.0999
кромсание;NGTV;-0.69;0.08;0.27;0.46;0.19;0.0939
кропотливость;PSTV;0.9211;0.6364;0.2;0.0545;0.1091;0.0592
кроссворд;NEUT;0.3727;0.381;0.5476;0.0238;0.0476;0.0253
кроткий;NEUT;0.3056;0.2871;0.495;0.0693;0.1485;0.086
кроха;PSTV;0.7627;0.6;0.29;0.04;0.07;0.0427
крохотный;NEUT;0.2304;0.2569;0.5413;0.0642;0.1376;0.0803
крошечка;PSTV;0.6563;0.5545;0.3564;0.0396;0.0495;0.0424
крошечный;NEUT;0.04;0.1667;0.5926;0.1358;0.1049;0.2465
крошить;NEUT;0.0;0.0;0.76;0.16;0.08;0.0
крошиться;NEUT;-0.3036;0.04;0.52;0.3;0.14;0.0453
крошка;NEUT;0.3793;0.3333;0.4706;0.1078;0.0882;0.1427
круассан;PSTV;0.75;0.62;0.31;0.01;0.06;0.0102
круг;NEUT;0.0;0.04;0.92;0.0;0.04;0.0
кругленький;NEUT;0.4213;0.3861;0.4851;0.0297;0.099;0.032
кругловатый;NEUT;0.0;0.0926;0.7037;0.0556;0.1481;0.0889
