slice;term;answer;ratio
TEZ:REL_TYPE;кабачок/растение;VERTICAL;1.0
TEZ:REL_TYPE;кабинет/мебель;PART/WHOLE;1.0
TEZ:REL_TYPE;кабинет/помещение;VERTICAL;0.8333
CLASS:BT/DISHES/FOOD;кагор;FOOD;1.0
CLASS:BT/DISHES/FOOD;кадка;DISHES;1.0
CLASS:BT/DISHES/FOOD;казанок;DISHES;1.0
CLASS:MOVE;казаться;NO;1.0
CLASS:BT/DISHES/FOOD;кайенский перец;FOOD;1.0
CLASS:BT/DISHES/FOOD;какао;FOOD;1.0
TEZ:REL_TYPE;какао/напиток;VERTICAL;1.0
TEZ:REL_TYPE;какао/плод;VERTICAL;0.7692
TEZ:REL_TYPE;кактус/растение;VERTICAL;1.0
CLASS:BT/DISHES/FOOD;камамбер;FOOD;1.0
CLASS:WEATHER;капель;GOOD_WEATHER;1.0
CLASS:WEATHER;капли;BAD_WEATHER;1.0
CLASS:WEATHER;капля;BAD_WEATHER;1.0
TEZ:REL_TYPE;капуста/еда;VERTICAL;1.0
TEZ:REL_TYPE;капуста/плод;VERTICAL;0.9286
TEZ:REL_TYPE;капуста/растение;VERTICAL;1.0
CLASS:BT/DISHES/FOOD;капуччино;FOOD;1.0
CLASS:BT/DISHES/FOOD;карамель;FOOD;1.0
CLASS:BT/DISHES/FOOD;карамелька;FOOD;1.0
TEZ:REL_TYPE;карета/транспорт;VERTICAL;0.7778
CLASS:BT/DISHES/FOOD;картофель;FOOD;1.0
TEZ:REL_TYPE;картофель/еда;VERTICAL;0.9412
TEZ:REL_TYPE;картофель/плод;VERTICAL;0.7333
CLASS:BT/DISHES/FOOD;картофельное пюре;FOOD;1.0
CLASS:BT/DISHES/FOOD;картофельные оладьи;FOOD;1.0
CLASS:BT/DISHES/FOOD;картофельные чипсы;FOOD;1.0
CLASS:BT/DISHES/FOOD;картофельный салат;FOOD;1.0
CLASS:BT/DISHES/FOOD;картофельный суп;FOOD;1.0
CLASS:BT/DISHES/FOOD;картошка;FOOD;1.0
TEZ:REL_TYPE;картошка/еда;VERTICAL;1.0
TEZ:REL_TYPE;картошка/плод;VERTICAL;0.76
TEZ:REL_TYPE;картошка/растение;VERTICAL;1.0
TEZ:REL_TYPE;кассир/профессия;VERTICAL;1.0
TEZ:REL_TYPE;кассир/человек;VERTICAL;1.0
CLASS:BT/DISHES/FOOD;кастрюли;DISHES;1.0
CLASS:BT/DISHES/FOOD;кастрюлька;DISHES;1.0
CLASS:BT/DISHES/FOOD;кастрюля;DISHES;1.0
TEZ:REL_TYPE;кастрюля/еда;PART/WHOLE;0.9091
TEZ:REL_TYPE;кастрюля/посуда;VERTICAL;1.0
CLASS:MOVE;катать;YES;0.6923
CLASS:MOVE;кататься;YES;1.0
CLASS:MOVE;катиться;YES;1.0
CLASS:KIN;католичка;NO;0.95
TEZ:REL_TYPE;кафе/место;VERTICAL;1.0
CLASS:MOVE;качаться;YES;1.0
CLASS:BT/DISHES/FOOD;каша;FOOD;1.0
TEZ:REL_TYPE;каша/еда;VERTICAL;1.0
CLASS:BT/DISHES/FOOD;кашица;FOOD;1.0
TEZ:REL_TYPE;каштан/дерево;VERTICAL;0.7647
TEZ:REL_TYPE;каштан/еда;VERTICAL;1.0
TEZ:REL_TYPE;каштан/плод;VERTICAL;1.0
TEZ:REL_TYPE;каштан/растение;VERTICAL;0.9444
CLASS:KIN;кающаяся грешница;NO;1.0
TEZ:REL_TYPE;квалификация/профессия;PART/WHOLE;1.0
TEZ:REL_TYPE;квартира/берлога;SYN;1.0
TEZ:REL_TYPE;квартира/комната;PART/WHOLE;1.0
TEZ:REL_TYPE;квартира/мебель;PART/WHOLE;1.0
TEZ:REL_TYPE;квартира/помещение;VERTICAL;0.7931
CLASS:BT/DISHES/FOOD;квас;FOOD;1.0
CLASS:BT/DISHES/FOOD;кебаб;FOOD;1.0
TEZ:REL_TYPE;кепка/одежда;VERTICAL;1.0
TEZ:REL_TYPE;керамика/посуда;VERTICAL;1.0
CLASS:BT/DISHES/FOOD;керамическая ваза;DISHES;1.0
CLASS:BT/DISHES/FOOD;керамическая посуда;DISHES;1.0
CLASS:BT/DISHES/FOOD;кетчуп;FOOD;1.0
TEZ:REL_TYPE;кефир/еда;VERTICAL;1.0
TEZ:REL_TYPE;кефир/жидкость;VERTICAL;1.0
TEZ:REL_TYPE;кефир/напиток;VERTICAL;1.0
CLASS:BT/DISHES/FOOD;кипятильник;BT;0.9091
CLASS:BT/DISHES/FOOD;кипяток;FOOD;1.0
CLASS:BT/DISHES/FOOD;кипящий чайник;BT;1.0
TEZ:REL_TYPE;кисель/еда;VERTICAL;0.9167
TEZ:REL_TYPE;кисель/жидкость;VERTICAL;1.0
CLASS:BT/DISHES/FOOD;кисло-сладкий соус;FOOD;1.0
TEZ:REL_TYPE;кислота/жидкость;VERTICAL;0.9688
CLASS:BT/DISHES/FOOD;кислые яблоки;FOOD;1.0
TEZ:REL_TYPE;кладовая/комната;VERTICAL;0.6842
TEZ:REL_TYPE;кладовая/помещение;VERTICAL;0.7692
TEZ:REL_TYPE;кладовка/комната;VERTICAL;1.0
TEZ:REL_TYPE;кладовка/место;VERTICAL;0.9167
TEZ:REL_TYPE;кладовка/помещение;VERTICAL;1.0
TEZ:REL_TYPE;класс/помещение;VERTICAL;1.0
TEZ:REL_TYPE;классика/книга;VERTICAL;1.0
CLASS:BT/DISHES/FOOD;кленовый сироп;FOOD;1.0
TEZ:REL_TYPE;клетка/растение;PART/WHOLE;0.8333
TEZ:REL_TYPE;клетка/человек;PART/WHOLE;1.0
TEZ:REL_TYPE;клуб/место;VERTICAL;1.0
TEZ:REL_TYPE;клубника/еда;VERTICAL;1.0
TEZ:REL_TYPE;клубника/куст;PART/WHOLE;0.9091
TEZ:REL_TYPE;клубника/растение;VERTICAL;1.0
TEZ:REL_TYPE;клубника/ягода;VERTICAL;1.0
CLASS:BT/DISHES/FOOD;клубничное варенье;FOOD;1.0
CLASS:BT/DISHES/FOOD;клубничное мороженое;FOOD;1.0
CLASS:BT/DISHES/FOOD;клубничный джем;FOOD;1.0
CLASS:WEATHER;клубящиеся тучи;BAD_WEATHER;1.0
CLASS:WEATHER;клубящийся туман;BAD_WEATHER;1.0
TEZ:REL_TYPE;клюв/птица;PART/WHOLE;1.0
TEZ:REL_TYPE;клюква/дерево;VERTICAL;1.0
TEZ:REL_TYPE;клюква/еда;VERTICAL;1.0
TEZ:REL_TYPE;клюква/растение;VERTICAL;1.0
CLASS:BT/DISHES/FOOD;клюквенный морс;FOOD;1.0
CLASS:BT/DISHES/FOOD;клюквенный сок;FOOD;1.0
TEZ:REL_TYPE;ключ/инструмент;VERTICAL;1.0
CLASS:BT/DISHES/FOOD;кляр;FOOD;0.9667
TEZ:REL_TYPE;клён/дерево;VERTICAL;1.0
TEZ:REL_TYPE;клён/растение;VERTICAL;1.0
TEZ:REL_TYPE;книга/абзац;PART/WHOLE;1.0
TEZ:REL_TYPE;книга/библия;VERTICAL;1.0
TEZ:REL_TYPE;книга/букварь;VERTICAL;1.0
TEZ:REL_TYPE;книга/герой;PART/WHOLE;1.0
TEZ:REL_TYPE;книга/глава;PART/WHOLE;0.96
TEZ:REL_TYPE;книга/детектив;VERTICAL;1.0
TEZ:REL_TYPE;книга/драма;VERTICAL;0.9091
TEZ:REL_TYPE;книга/заголовок;PART/WHOLE;0.7059
TEZ:REL_TYPE;книга/знания;PART/WHOLE;0.9091
TEZ:REL_TYPE;книга/книжка;SYN;1.0
TEZ:REL_TYPE;книга/комедия;VERTICAL;1.0
TEZ:REL_TYPE;книга/листок;PART/WHOLE;0.7333
TEZ:REL_TYPE;книга/название;PART/WHOLE;0.9167
TEZ:REL_TYPE;книга/новелла;VERTICAL;0.7692
TEZ:REL_TYPE;книга/обложка;PART/WHOLE;0.875
TEZ:REL_TYPE;книга/оглавление;PART/WHOLE;0.9286
TEZ:REL_TYPE;книга/отдых;VERTICAL;0.7143
TEZ:REL_TYPE;книга/переплёт;PART/WHOLE;0.8182
TEZ:REL_TYPE;книга/поэма;VERTICAL;0.7857
TEZ:REL_TYPE;книга/предложения;PART/WHOLE;0.7143
TEZ:REL_TYPE;книга/проза;VERTICAL;1.0
TEZ:REL_TYPE;книга/роман;VERTICAL;0.9091
TEZ:REL_TYPE;книга/словарь;VERTICAL;1.0
TEZ:REL_TYPE;книга/содержание;PART/WHOLE;0.9412
TEZ:REL_TYPE;книга/стих;PART/WHOLE;1.0
TEZ:REL_TYPE;книга/страница;PART/WHOLE;0.9474
TEZ:REL_TYPE;книга/строка;PART/WHOLE;1.0
TEZ:REL_TYPE;книга/сюжет;PART/WHOLE;0.6957
TEZ:REL_TYPE;книга/фантастика;VERTICAL;1.0
TEZ:REL_TYPE;книга/шрифт;PART/WHOLE;1.0
TEZ:REL_TYPE;книга/энциклопедия;VERTICAL;1.0
TEZ:REL_TYPE;книжка/книга;SYN;1.0
CLASS:KIN;кобыла;NO;1.0
CLASS:MOVE;ковылять;YES;1.0
TEZ:REL_TYPE;ковёр/комната;PART/WHOLE;1.0
TEZ:REL_TYPE;когти/птица;PART/WHOLE;1.0
CLASS:BT/DISHES/FOOD;кожаная фляга;DISHES;1.0
CLASS:BT/DISHES/FOOD;кожаный бурдюк;DISHES;1.0
CLASS:BT/DISHES/FOOD;кожура;FOOD;1.0
CLASS:BT/DISHES/FOOD;козий сыр;FOOD;1.0
TEZ:REL_TYPE;кока-кола/жидкость;VERTICAL;1.0
TEZ:REL_TYPE;кока-кола/напиток;VERTICAL;1.0
CLASS:BT/DISHES/FOOD;кокосовое молоко;FOOD;1.0
CLASS:BT/DISHES/FOOD;кокосовый орех;FOOD;1.0
CLASS:BT/DISHES/FOOD;коктейль;FOOD;1.0
TEZ:REL_TYPE;коктейль/напиток;VERTICAL;0.8
CLASS:BT/DISHES/FOOD;кола;FOOD;1.0
TEZ:REL_TYPE;кола/напиток;VERTICAL;0.9667
CLASS:BT/DISHES/FOOD;колбаса;FOOD;1.0
TEZ:REL_TYPE;колбаса/еда;VERTICAL;0.9444
TEZ:REL_TYPE;колготки/одежда;VERTICAL;0.9167
TEZ:REL_TYPE;колесо/транспорт;PART/WHOLE;1.0
CLASS:BT/DISHES/FOOD;колотый сахар;FOOD;1.0
CLASS:WEATHER;колючий снег;BAD_WEATHER;1.0
CLASS:MOVE;ком;NO;1.0
CLASS:BT/DISHES/FOOD;комбайн;BT;1.0
TEZ:REL_TYPE;комбинезон/одежда;VERTICAL;1.0
TEZ:REL_TYPE;комедия/жанр;VERTICAL;1.0
TEZ:REL_TYPE;комната/двери;PART/WHOLE;1.0
TEZ:REL_TYPE;комната/дверь;PART/WHOLE;1.0
TEZ:REL_TYPE;комната/диван;PART/WHOLE;1.0
TEZ:REL_TYPE;комната/дом;PART/WHOLE;0.9
TEZ:REL_TYPE;комната/зал;VERTICAL;0.9091
TEZ:REL_TYPE;комната/здание;PART/WHOLE;1.0
TEZ:REL_TYPE;комната/квадрат;VERTICAL;1.0
TEZ:REL_TYPE;комната/квартира;PART/WHOLE;1.0
TEZ:REL_TYPE;комната/класс;VERTICAL;0.9091
TEZ:REL_TYPE;комната/комнатушка;SYN;1.0
TEZ:REL_TYPE;комната/кресло;PART/WHOLE;0.9091
TEZ:REL_TYPE;комната/кухня;VERTICAL;1.0
TEZ:REL_TYPE;комната/люстра;PART/WHOLE;1.0
TEZ:REL_TYPE;комната/место;VERTICAL;1.0
TEZ:REL_TYPE;комната/номер;SYN;0.7
TEZ:REL_TYPE;комната/обои;PART/WHOLE;0.9412
TEZ:REL_TYPE;комната/общежитие;PART/WHOLE;1.0
TEZ:REL_TYPE;комната/окно;PART/WHOLE;0.9474
TEZ:REL_TYPE;комната/пол;PART/WHOLE;1.0
TEZ:REL_TYPE;комната/помещение;SYN;1.0
TEZ:REL_TYPE;комната/потолок;PART/WHOLE;0.9333
TEZ:REL_TYPE;комната/пространство;VERTICAL;1.0
TEZ:REL_TYPE;комната/спальня;VERTICAL;0.9333
TEZ:REL_TYPE;комната/стена;PART/WHOLE;0.9375
TEZ:REL_TYPE;комната/туалет;VERTICAL;1.0
TEZ:REL_TYPE;комната/тумбочка;PART/WHOLE;1.0
TEZ:REL_TYPE;комната/угол;PART/WHOLE;1.0
TEZ:REL_TYPE;комната/чулан;VERTICAL;0.7143
TEZ:REL_TYPE;комната/шкаф;PART/WHOLE;0.9091
TEZ:REL_TYPE;комната/шторы;PART/WHOLE;1.0
TEZ:REL_TYPE;комнатушка/комната;SYN;0.75
TEZ:REL_TYPE;компот/жидкость;VERTICAL;1.0
TEZ:REL_TYPE;компот/напиток;VERTICAL;0.9444
TEZ:REL_TYPE;кондуктор/профессия;VERTICAL;1.0
TEZ:REL_TYPE;кондуктор/человек;VERTICAL;1.0
CLASS:BT/DISHES/FOOD;консервированное мясо;FOOD;1.0
CLASS:BT/DISHES/FOOD;консервированные бобы;FOOD;0.9091
CLASS:BT/DISHES/FOOD;консервированные персики;FOOD;1.0
CLASS:BT/DISHES/FOOD;консервированные фрукты;FOOD;1.0
CLASS:BT/DISHES/FOOD;консервы;FOOD;1.0
TEZ:REL_TYPE;конструкция/сооружение;SYN;0.9091
CLASS:BT/DISHES/FOOD;контейнеры;DISHES;1.0
TEZ:REL_TYPE;контролёр/профессия;VERTICAL;1.0
TEZ:REL_TYPE;контролёр/транспорт;PART/WHOLE;1.0
TEZ:REL_TYPE;контролёр/человек;VERTICAL;0.8333
CLASS:BT/DISHES/FOOD;конфета;FOOD;1.0
CLASS:BT/DISHES/FOOD;конфеты;FOOD;1.0
TEZ:REL_TYPE;конфеты/еда;VERTICAL;0.8929
CLASS:BT/DISHES/FOOD;конфитюр;FOOD;1.0
CLASS:MOVE;кончаться;NO;0.675
CLASS:KIN;кончина;NO;1.0
TEZ:REL_TYPE;коньяк/жидкость;VERTICAL;1.0
TEZ:REL_TYPE;коньяк/напиток;VERTICAL;1.0
CLASS:BT/DISHES/FOOD;коньячная бутылка;DISHES;1.0
CLASS:MOVE;конёк;NO;1.0
CLASS:BT/DISHES/FOOD;копчёная колбаса;FOOD;1.0
TEZ:REL_TYPE;кора/дерево;PART/WHOLE;1.0
TEZ:REL_TYPE;корабль/транспорт;VERTICAL;1.0
TEZ:REL_TYPE;корень/дерево;PART/WHOLE;1.0
TEZ:REL_TYPE;корень/куст;PART/WHOLE;1.0
TEZ:REL_TYPE;корень/растение;PART/WHOLE;0.9167
CLASS:BT/DISHES/FOOD;коржик;FOOD;1.0
CLASS:BT/DISHES/FOOD;корзина;DISHES;1.0
TEZ:REL_TYPE;коридор/место;VERTICAL;1.0
CLASS:BT/DISHES/FOOD;коричневая жидкость;FOOD;1.0
CLASS:BT/DISHES/FOOD;корка;FOOD;1.0
CLASS:BT/DISHES/FOOD;корки;FOOD;1.0
CLASS:BT/DISHES/FOOD;корм;FOOD;1.0
TEZ:REL_TYPE;корм/еда;SYN;1.0
TEZ:REL_TYPE;корни/дерево;PART/WHOLE;1.0
TEZ:REL_TYPE;корни/куст;PART/WHOLE;1.0
TEZ:REL_TYPE;корни/растение;PART/WHOLE;1.0
CLASS:KIN;королевские почести;NO;1.0
CLASS:BT/DISHES/FOOD;коронное блюдо;FOOD;1.0
CLASS:BT/DISHES/FOOD;корочка;FOOD;1.0
CLASS:BT/DISHES/FOOD;корытце;DISHES;0.9706
TEZ:REL_TYPE;космонавт/профессия;VERTICAL;1.0
TEZ:REL_TYPE;космонавт/человек;VERTICAL;1.0
TEZ:REL_TYPE;кости/птица;PART/WHOLE;1.0
TEZ:REL_TYPE;кости/человек;PART/WHOLE;1.0
CLASS:BT/DISHES/FOOD;косточка;FOOD;1.0
TEZ:REL_TYPE;косточка/плод;PART/WHOLE;1.0
TEZ:REL_TYPE;косточка/ягода;PART/WHOLE;0.9412
CLASS:MOVE;костыль;NO;1.0
TEZ:REL_TYPE;костюм/одежда;VERTICAL;0.8125
CLASS:WEATHER;косые лучи;GOOD_WEATHER;1.0
CLASS:BT/DISHES/FOOD;котелок;DISHES;1.0
CLASS:BT/DISHES/FOOD;котлета;FOOD;1.0
TEZ:REL_TYPE;котлета/еда;VERTICAL;0.7
CLASS:BT/DISHES/FOOD;котлеты;FOOD;1.0
CLASS:BT/DISHES/FOOD;кофе;FOOD;1.0
TEZ:REL_TYPE;кофе/еда;VERTICAL;0.9333
TEZ:REL_TYPE;кофе/напиток;VERTICAL;1.0
CLASS:BT/DISHES/FOOD;кофейная мельница;BT;1.0
CLASS:BT/DISHES/FOOD;кофейная чашечка;DISHES;1.0
CLASS:BT/DISHES/FOOD;кофейные зёрна;FOOD;1.0
CLASS:BT/DISHES/FOOD;кофейные чашечки;DISHES;1.0
CLASS:BT/DISHES/FOOD;кофейные чашки;DISHES;1.0
CLASS:BT/DISHES/FOOD;кофейный автомат;BT;1.0
CLASS:BT/DISHES/FOOD;кофейный сервиз;DISHES;1.0
TEZ:REL_TYPE;кофта/одежда;VERTICAL;0.8125
CLASS:MOVE;кочка;NO;1.0
CLASS:BT/DISHES/FOOD;кошачий корм;FOOD;1.0
CLASS:BT/DISHES/FOOD;кошачьи консервы;FOOD;1.0
CLASS:BT/DISHES/FOOD;крабовые палочки;FOOD;1.0
CLASS:BT/DISHES/FOOD;крабовый салат;FOOD;1.0
CLASS:MOVE;край;NO;0.9231
TEZ:REL_TYPE;крапива/растение;VERTICAL;1.0
CLASS:KIN;красавица;NO;1.0
CLASS:BT/DISHES/FOOD;красная икра;FOOD;1.0
CLASS:BT/DISHES/FOOD;красное вино;FOOD;1.0
CLASS:WEATHER;красное зарево;GOOD_WEATHER;1.0
CLASS:WEATHER;красное солнце;GOOD_WEATHER;0.9615
CLASS:BT/DISHES/FOOD;красное яблоко;FOOD;1.0
CLASS:WEATHER;красные отблески;GOOD_WEATHER;1.0
CLASS:MOVE;красться;YES;1.0
CLASS:BT/DISHES/FOOD;крем-брюле;FOOD;1.0
CLASS:BT/DISHES/FOOD;крепкий кофе;FOOD;1.0
TEZ:REL_TYPE;кресло/мебель;VERTICAL;1.0
CLASS:KIN;крестница;YES;1.0
CLASS:KIN;крестьянка;NO;1.0
CLASS:BT/DISHES/FOOD;кринка;DISHES;1.0
CLASS:MOVE;кричать;NO;0.9565
CLASS:KIN;кров;NO;0.9091
CLASS:WEATHER;кровавое зарево;TIME_OF_DAY;0.9167
TEZ:REL_TYPE;кровать/мебель;VERTICAL;1.0
CLASS:KIN;кровная родня;YES;1.0
CLASS:KIN;кровный родственник;YES;1.0
TEZ:REL_TYPE;кровь/жидкость;VERTICAL;1.0
TEZ:REL_TYPE;кровь/человек;PART/WHOLE;1.0
CLASS:BT/DISHES/FOOD;кровяная колбаса;FOOD;1.0
TEZ:REL_TYPE;крона/дерево;PART/WHOLE;1.0
TEZ:REL_TYPE;крона/растение;PART/WHOLE;0.7059
CLASS:KIN;кроткий нрав;NO;1.0
CLASS:BT/DISHES/FOOD;крохотные кусочки;FOOD;1.0
CLASS:BT/DISHES/FOOD;крохотный кусочек;FOOD;1.0
CLASS:BT/DISHES/FOOD;крошечные кусочки;FOOD;1.0
CLASS:BT/DISHES/FOOD;крошечный кусочек;FOOD;1.0
CLASS:BT/DISHES/FOOD;крошка;FOOD;1.0
CLASS:BT/DISHES/FOOD;круассан;FOOD;1.0
CLASS:MOVE;круг;NO;1.0
CLASS:WEATHER;круглая луна;TIME_OF_DAY;1.0
CLASS:MOVE;кружить;YES;1.0
CLASS:MOVE;кружиться;YES;1.0
CLASS:BT/DISHES/FOOD;кружка;DISHES;0.9091
TEZ:REL_TYPE;кружка/посуда;VERTICAL;0.9286
CLASS:BT/DISHES/FOOD;кружки;DISHES;1.0
CLASS:WEATHER;крупные хлопья;BAD_WEATHER;1.0
CLASS:MOVE;крутить;YES;1.0
CLASS:MOVE;крутиться;YES;1.0
CLASS:BT/DISHES/FOOD;крутое яйцо;FOOD;1.0
CLASS:BT/DISHES/FOOD;крутой кипяток;FOOD;1.0
CLASS:BT/DISHES/FOOD;крылышко;FOOD;1.0
TEZ:REL_TYPE;крылья/птица;PART/WHOLE;1.0
CLASS:BT/DISHES/FOOD;крынка;DISHES;1.0
CLASS:BT/DISHES/FOOD;крысиный яд;FOOD;1.0
CLASS:BT/DISHES/FOOD;крюшон;FOOD;1.0
CLASS:BT/DISHES/FOOD;кубок;DISHES;1.0
CLASS:BT/DISHES/FOOD;кувшин;DISHES;1.0
CLASS:BT/DISHES/FOOD;кувшинчик;DISHES;1.0
CLASS:MOVE;кувыркаться;YES;1.0
CLASS:KIN;кузен;YES;1.0
CLASS:KIN;кузина;YES;1.0
TEZ:REL_TYPE;кузина/родственник;VERTICAL;1.0
TEZ:REL_TYPE;кузина/человек;VERTICAL;1.0
CLASS:BT/DISHES/FOOD;кукуруза;FOOD;1.0
CLASS:BT/DISHES/FOOD;кукурузная каша;FOOD;1.0
CLASS:BT/DISHES/FOOD;кукурузные хлопья;FOOD;1.0
CLASS:BT/DISHES/FOOD;кукурузный хлеб;FOOD;1.0
TEZ:REL_TYPE;кукушка/птица;VERTICAL;1.0
TEZ:REL_TYPE;кулинария/книга;VERTICAL;1.0
CLASS:BT/DISHES/FOOD;кулинарные изыски;FOOD;1.0
CLASS:BT/DISHES/FOOD;кулинарный шедевр;FOOD;1.0
CLASS:BT/DISHES/FOOD;кунжутное масло;FOOD;1.0
TEZ:REL_TYPE;купальник/одежда;VERTICAL;1.0
CLASS:BT/DISHES/FOOD;куриная грудка;FOOD;1.0
CLASS:BT/DISHES/FOOD;куриная косточка;FOOD;1.0
CLASS:BT/DISHES/FOOD;куриная ножка;FOOD;1.0
CLASS:BT/DISHES/FOOD;куриное крылышко;FOOD;1.0
CLASS:BT/DISHES/FOOD;куриное мясо;FOOD;1.0
CLASS:BT/DISHES/FOOD;куриные грудки;FOOD;1.0
CLASS:BT/DISHES/FOOD;куриные ножки;FOOD;1.0
CLASS:BT/DISHES/FOOD;куриный бульон;FOOD;1.0
CLASS:BT/DISHES/FOOD;куриный суп;FOOD;1.0
CLASS:BT/DISHES/FOOD;курица;FOOD;1.0
TEZ:REL_TYPE;курица/еда;VERTICAL;1.0
TEZ:REL_TYPE;курица/птица;VERTICAL;1.0
TEZ:REL_TYPE;куртка/одежда;VERTICAL;1.0
CLASS:BT/DISHES/FOOD;куры;FOOD;1.0
CLASS:BT/DISHES/FOOD;кусочек;FOOD;1.0
CLASS:BT/DISHES/FOOD;кусочки;FOOD;1.0
TEZ:REL_TYPE;куст/акация;VERTICAL;1.0
TEZ:REL_TYPE;куст/ветки;PART/WHOLE;0.9167
TEZ:REL_TYPE;куст/зелень;VERTICAL;0.9091
TEZ:REL_TYPE;куст/корни;PART/WHOLE;0.9167
TEZ:REL_TYPE;куст/кустарник;SYN;0.9091
TEZ:REL_TYPE;куст/листва;PART/WHOLE;1.0
TEZ:REL_TYPE;куст/листья;PART/WHOLE;1.0
TEZ:REL_TYPE;куст/малина;VERTICAL;0.6842
TEZ:REL_TYPE;куст/орешник;VERTICAL;1.0
TEZ:REL_TYPE;куст/растение;VERTICAL;0.9474
TEZ:REL_TYPE;куст/сирень;VERTICAL;1.0
TEZ:REL_TYPE;куст/смородина;VERTICAL;1.0
TEZ:REL_TYPE;куст/флора;VERTICAL;0.6875
TEZ:REL_TYPE;куст/цветы;VERTICAL;1.0
TEZ:REL_TYPE;куст/черёмуха;VERTICAL;1.0
TEZ:REL_TYPE;куст/шиповник;VERTICAL;0.9412
TEZ:REL_TYPE;куст/ягоды;PART/WHOLE;0.6842
TEZ:REL_TYPE;кустарник/куст;SYN;1.0
TEZ:REL_TYPE;кустарник/растение;VERTICAL;1.0
TEZ:REL_TYPE;кустик/куст;SYN;1.0
TEZ:REL_TYPE;кустик/плод;PART/WHOLE;0.9167
TEZ:REL_TYPE;кустик/растение;VERTICAL;1.0
TEZ:REL_TYPE;кусты/дерево;VERTICAL;1.0
TEZ:REL_TYPE;кусты/растение;VERTICAL;1.0
TEZ:REL_TYPE;кухня/комната;VERTICAL;0.9333
CLASS:BT/DISHES/FOOD;кухонная раковина;BT;0.963
CLASS:BT/DISHES/FOOD;кухонные шкафчики;BT;1.0
CLASS:BT/DISHES/FOOD;кухонный комбайн;BT;1.0
TEZ:REL_TYPE;лаборатория/комната;VERTICAL;1.0
TEZ:REL_TYPE;лаборатория/место;VERTICAL;1.0
TEZ:REL_TYPE;лаборатория/помещение;VERTICAL;0.8333
CLASS:WEATHER;лавины;BAD_WEATHER;1.0
CLASS:MOVE;лавировать;YES;1.0
CLASS:MOVE;лазать;YES;1.0
CLASS:MOVE;лазить;YES;1.0
CLASS:WEATHER;лазурное небо;GOOD_WEATHER;1.0
CLASS:WEATHER;лазурь;GOOD_WEATHER;1.0
TEZ:REL_TYPE;лак/жидкость;VERTICAL;0.9167
TEZ:REL_TYPE;лампа/комната;PART/WHOLE;1.0
CLASS:BT/DISHES/FOOD;лангуста;FOOD;1.0
TEZ:REL_TYPE;лапы/птица;PART/WHOLE;0.9286
CLASS:KIN;ласковое прозвище;NO;1.0
CLASS:WEATHER;ласковое солнышко;GOOD_WEATHER;1.0
CLASS:WEATHER;ласковое тепло;GOOD_WEATHER;1.0
CLASS:WEATHER;ласковый ветерок;GOOD_WEATHER;1.0
TEZ:REL_TYPE;ласточка/птица;VERTICAL;1.0
CLASS:BT/DISHES/FOOD;леденец;FOOD;1.0
CLASS:BT/DISHES/FOOD;леденцы;FOOD;1.0
CLASS:WEATHER;ледок;BAD_WEATHER;1.0
CLASS:WEATHER;ледяная корка;BAD_WEATHER;1.0
CLASS:WEATHER;ледяная корочка;BAD_WEATHER;1.0
CLASS:WEATHER;ледяная крошка;BAD_WEATHER;1.0
CLASS:WEATHER;ледяная крупа;BAD_WEATHER;1.0
CLASS:WEATHER;ледяная пустыня;BAD_WEATHER;1.0
CLASS:WEATHER;ледяная стужа;BAD_WEATHER;1.0
CLASS:WEATHER;ледяное дыхание;BAD_WEATHER;1.0
CLASS:WEATHER;ледяное крошево;BAD_WEATHER;1.0
CLASS:WEATHER;ледяной ветер;BAD_WEATHER;1.0
CLASS:WEATHER;ледяной панцирь;BAD_WEATHER;1.0
CLASS:WEATHER;ледяные ветры;BAD_WEATHER;1.0
CLASS:WEATHER;ледяные глыбы;BAD_WEATHER;1.0
CLASS:WEATHER;ледяные иглы;BAD_WEATHER;1.0
CLASS:WEATHER;ледяные кристаллики;BAD_WEATHER;1.0
CLASS:WEATHER;ледяные кристаллы;BAD_WEATHER;1.0
CLASS:WEATHER;ледяные поля;BAD_WEATHER;1.0
CLASS:WEATHER;ледяные сосульки;BAD_WEATHER;0.9333
CLASS:WEATHER;ледяные струи;BAD_WEATHER;1.0
CLASS:WEATHER;ледяные торосы;BAD_WEATHER;1.0
CLASS:MOVE;лес;NO;1.0
CLASS:MOVE;леса;NO;1.0
CLASS:MOVE;лесенка;NO;0.9091
CLASS:KIN;лета;NO;1.0
CLASS:MOVE;летать;YES;1.0
CLASS:MOVE;лететь;YES;1.0
CLASS:WEATHER;летнее солнце;GOOD_WEATHER;1.0
CLASS:WEATHER;летние дни;GOOD_WEATHER;1.0
CLASS:WEATHER;летний ветерок;GOOD_WEATHER;1.0
CLASS:WEATHER;летняя гроза;BAD_WEATHER;1.0
CLASS:WEATHER;летняя жара;GOOD_WEATHER;1.0
CLASS:WEATHER;летняя погода;GOOD_WEATHER;1.0
CLASS:WEATHER;лето;GOOD_WEATHER;1.0
CLASS:WEATHER;ливень;BAD_WEATHER;1.0
CLASS:BT/DISHES/FOOD;ливер;FOOD;1.0
CLASS:BT/DISHES/FOOD;ливерная колбаса;FOOD;1.0
CLASS:WEATHER;ливневые дожди;BAD_WEATHER;1.0
CLASS:WEATHER;ливни;BAD_WEATHER;1.0
