term;tag;value;pstv;ngtv;neut;dunno;pstvNgtvDisagreementRatio
изготавливать;NEUT;0.54;0.487;0.025;0.438;0.05;0.0
изготавливаться;NEUT;0.46;0.389;0.071;0.443;0.097;0.0
изготовитель;NEUT;0.36;0.339;0.028;0.505;0.128;0.0
изготовить;NEUT;0.46;0.409;0.036;0.467;0.088;0.0
изготовиться;NEUT;0.19;0.268;0.049;0.634;0.049;0.0
изготовка;NEUT;0.2;0.258;0.042;0.592;0.108;0.0
изготовление;NEUT;0.4;0.372;0.078;0.503;0.047;0.0
изготовлять;PSTV;0.56;0.492;0.041;0.41;0.057;0.0
изготовляться;NEUT;0.39;0.352;0.023;0.484;0.141;0.0
изгрызть;NGTV;-0.59;0.069;0.485;0.377;0.069;0.0
изгрязнить;NGTV;-1.0;0.036;0.679;0.071;0.214;0.0
издавать;NEUT;0.19;0.207;0.103;0.483;0.207;0.0
издавна;NEUT;0.0;0.157;0.039;0.726;0.078;0.0
издалека;NEUT;0.0;0.104;0.063;0.729;0.104;0.0
издалеча;NEUT;0.04;0.139;0.12;0.491;0.25;0.0
издалече;NEUT;0.04;0.133;0.033;0.467;0.367;0.0
издание;NEUT;0.32;0.328;0.017;0.546;0.109;0.0
издатель;NEUT;0.42;0.373;0.04;0.476;0.111;0.0
издательница;NEUT;0.51;0.421;0.07;0.413;0.096;0.0
издательский;NEUT;0.0;0.122;0.061;0.756;0.061;0.0
издательство;NEUT;0.26;0.27;0.148;0.516;0.066;0.04
издать;NEUT;0.28;0.277;0.069;0.515;0.139;0.0
издевательски;NGTV;-1.0;0.083;0.867;0.033;0.017;0.0
издевательский;NGTV;-1.0;0.056;0.833;0.083;0.028;0.0
издевательство;NGTV;-1.0;0.04;0.94;0.0;0.02;0.0
издеваться;NGTV;-1.0;0.023;0.909;0.023;0.045;0.0
изделие;NEUT;0.32;0.33;0.052;0.548;0.07;0.0
издержать;NGTV;-0.4;0.079;0.291;0.386;0.244;0.0
издержка;NGTV;-0.57;0.079;0.455;0.367;0.099;0.0
издохнуть;NGTV;-0.96;0.065;0.543;0.153;0.239;0.0
издревле;NEUT;0.09;0.2;0.022;0.611;0.167;0.0
издыхание;NGTV;-0.69;0.086;0.505;0.295;0.114;0.0
издыхать;NGTV;-0.92;0.045;0.621;0.198;0.136;0.0
издёвка;NGTV;-1.0;0.0;0.776;0.13;0.094;0.0
издёргаться;NGTV;-0.84;0.065;0.609;0.239;0.087;0.0
изжарить;NGTV;-0.42;0.108;0.304;0.363;0.225;0.04
изжариться;NGTV;-0.94;0.039;0.588;0.177;0.196;0.0
изжевать;NGTV;-0.48;0.088;0.314;0.333;0.265;0.01
изживать;NGTV;-0.7;0.069;0.455;0.258;0.218;0.0
изживаться;NGTV;-0.92;0.0;0.647;0.206;0.147;0.0
изжить;NGTV;-0.68;0.06;0.51;0.31;0.12;0.0
изжога;NGTV;-1.0;0.034;0.793;0.07;0.103;0.0
излагать;NEUT;0.29;0.304;0.052;0.54;0.104;0.0
излазить;NEUT;-0.05;0.061;0.163;0.572;0.204;0.0
изламываться;NGTV;-0.62;0.059;0.406;0.287;0.248;0.0
излечение;PSTV;1.0;0.759;0.069;0.069;0.103;0.0
излечивание;PSTV;0.97;0.725;0.078;0.197;0.0;0.0
излечивать;PSTV;1.0;0.744;0.051;0.128;0.077;0.0
излечиваться;PSTV;1.0;0.739;0.065;0.044;0.152;0.0
излечимый;PSTV;1.0;0.725;0.078;0.119;0.078;0.0
излечить;PSTV;1.0;0.75;0.028;0.111;0.111;0.0
излечиться;PSTV;1.0;0.739;0.043;0.109;0.109;0.0
изливать;NEUT;0.0;0.143;0.036;0.75;0.071;0.0
изливаться;NEUT;-0.11;0.112;0.196;0.571;0.121;0.0
излить;NEUT;0.01;0.147;0.127;0.569;0.157;0.0
излиться;NEUT;-0.06;0.14;0.14;0.468;0.252;0.06
излишек;NEUT;-0.27;0.156;0.246;0.434;0.164;0.1
излишество;NGTV;-0.86;0.119;0.505;0.188;0.188;0.0
излишний;NGTV;-0.61;0.05;0.471;0.347;0.132;0.0
излияние;NEUT;-0.2;0.077;0.212;0.49;0.221;0.0
изловить;NEUT;0.06;0.152;0.143;0.505;0.2;0.04
изловчиться;NEUT;0.54;0.407;0.106;0.354;0.133;0.01
изложение;NEUT;0.0;0.143;0.036;0.607;0.214;0.0
изложить;NEUT;0.18;0.25;0.05;0.6;0.1;0.0
излом;NGTV;-0.48;0.089;0.366;0.387;0.158;0.0
изломанность;NGTV;-0.49;0.078;0.353;0.363;0.206;0.0
изломать;NGTV;-0.91;0.08;0.62;0.2;0.1;0.0
изломаться;NGTV;-0.59;0.08;0.41;0.32;0.19;0.0
излучатель;NEUT;0.0;0.148;0.037;0.741;0.074;0.0
излучать;NEUT;0.13;0.244;0.022;0.667;0.067;0.0
излучаться;NEUT;0.37;0.353;0.059;0.51;0.078;0.0
излучение;NEUT;-0.31;0.137;0.291;0.487;0.085;0.03
излучина;NEUT;0.06;0.137;0.039;0.461;0.363;0.0
излучить;NEUT;0.37;0.315;0.134;0.441;0.11;0.04
измазать;NGTV;-0.63;0.042;0.517;0.356;0.085;0.0
измазаться;NGTV;-0.74;0.078;0.547;0.281;0.094;0.0
измарать;NGTV;-0.93;0.068;0.659;0.205;0.068;0.0
изматывание;NGTV;-1.0;0.026;0.711;0.131;0.132;0.0
изматывать;NGTV;-0.93;0.022;0.733;0.223;0.022;0.0
изматываться;NGTV;-1.0;0.036;0.709;0.146;0.109;0.0
измаяться;NGTV;-0.84;0.07;0.59;0.23;0.11;0.0
измельчание;NGTV;-0.35;0.107;0.279;0.425;0.189;0.0
измельчать;NEUT;0.0;0.083;0.121;0.662;0.134;0.0
измельчаться;NEUT;-0.24;0.069;0.267;0.545;0.119;0.0
измельчение;NEUT;0.0;0.115;0.129;0.634;0.122;0.0
измельчитель;NEUT;0.0;0.13;0.139;0.574;0.157;0.0
измельчить;NEUT;0.04;0.176;0.059;0.628;0.137;0.0
измена;NGTV;-1.0;0.084;0.737;0.095;0.084;0.0
изменение;NEUT;0.0;0.148;0.037;0.685;0.13;0.0
изменить;NEUT;0.0;0.122;0.049;0.756;0.073;0.0
измениться;NEUT;0.23;0.277;0.092;0.581;0.05;0.0
изменник;NGTV;-1.0;0.024;0.714;0.095;0.167;0.0
изменница;NGTV;-0.99;0.099;0.622;0.162;0.117;0.0
изменнический;NGTV;-0.73;0.08;0.38;0.2;0.34;0.0
изменчивость;NEUT;0.0;0.049;0.122;0.731;0.098;0.0
изменчивый;NEUT;-0.24;0.115;0.257;0.531;0.097;0.0
изменщик;NGTV;-1.0;0.068;0.795;0.092;0.045;0.0
изменщица;NGTV;-1.0;0.108;0.676;0.162;0.054;0.0
изменяемость;NEUT;0.09;0.2;0.1;0.625;0.075;0.0
изменять;NEUT;-0.17;0.159;0.221;0.54;0.08;0.05
изменяться;NEUT;0.14;0.246;0.023;0.669;0.062;0.0
измерение;NEUT;0.09;0.189;0.057;0.584;0.17;0.0
измеримый;NEUT;0.24;0.265;0.059;0.549;0.127;0.0
измеритель;NEUT;0.0;0.167;0.042;0.666;0.125;0.0
измерительный;NEUT;0.18;0.254;0.034;0.61;0.102;0.0
измерить;NEUT;0.1;0.214;0.024;0.643;0.119;0.0
измерять;NEUT;0.15;0.234;0.021;0.617;0.128;0.0
измеряться;NEUT;0.05;0.191;0.043;0.66;0.106;0.0
измождение;NGTV;-1.0;0.085;0.746;0.118;0.051;0.0
измождённость;NGTV;-1.0;0.037;0.667;0.111;0.185;0.0
измождённый;NGTV;-1.0;0.0;0.885;0.038;0.077;0.0
измолотить;NEUT;-0.28;0.113;0.245;0.453;0.189;0.0
измор;NGTV;-1.0;0.038;0.885;0.039;0.038;0.0
измориться;NGTV;-1.0;0.085;0.681;0.106;0.128;0.0
изморось;NEUT;-0.25;0.136;0.243;0.475;0.146;0.04
измотанность;NGTV;-0.89;0.086;0.621;0.215;0.078;0.0
измотать;NGTV;-1.0;0.083;0.729;0.105;0.083;0.0
измотаться;NGTV;-0.89;0.137;0.598;0.205;0.06;0.0
измучивать;NGTV;-1.0;0.071;0.786;0.072;0.071;0.0
измучить;NGTV;-1.0;0.054;0.757;0.135;0.054;0.0
измучиться;NGTV;-1.0;0.02;0.765;0.137;0.078;0.0
измывательский;NGTV;-1.0;0.111;0.778;0.0;0.111;0.0
измывательство;NGTV;-1.0;0.038;0.846;0.039;0.077;0.0
измываться;NGTV;-1.0;0.0;0.815;0.111;0.074;0.0
измыслить;NEUT;0.33;0.282;0.068;0.456;0.194;0.0
измышление;NEUT;0.2;0.195;0.128;0.436;0.241;0.05
измышлять;NEUT;0.26;0.257;0.168;0.466;0.109;0.1
измять;NGTV;-0.52;0.108;0.392;0.363;0.137;0.02
измяться;NGTV;-0.68;0.109;0.428;0.253;0.21;0.0
изнанка;NEUT;-0.19;0.111;0.204;0.481;0.204;0.0
изнаночный;NEUT;-0.1;0.074;0.206;0.617;0.103;0.0
изначальный;NEUT;0.06;0.2;0.02;0.68;0.1;0.0
изнашивание;NGTV;-0.79;0.057;0.602;0.268;0.073;0.0
изнашивать;NGTV;-0.52;0.108;0.414;0.388;0.09;0.01
изнашиваться;NGTV;-0.81;0.079;0.596;0.255;0.07;0.0
изнеженно;NGTV;-0.39;0.231;0.308;0.278;0.183;0.36
изнеженность;NGTV;-0.69;0.168;0.446;0.208;0.178;0.13
изнемогать;NGTV;-1.0;0.036;0.714;0.107;0.143;0.0
изнеможение;NGTV;-1.0;0.098;0.574;0.115;0.213;0.0
изнеможённый;NGTV;-0.98;0.0;0.76;0.2;0.04;0.0
изнемочь;NGTV;-1.0;0.077;0.538;0.116;0.269;0.0
изнервничаться;NGTV;-0.93;0.048;0.619;0.19;0.143;0.0
изнизу;NEUT;0.07;0.142;0.123;0.461;0.274;0.02
изничтожать;NGTV;-1.0;0.038;0.654;0.077;0.231;0.0
изничтожаться;NGTV;-1.0;0.132;0.658;0.078;0.132;0.0
изничтожение;NGTV;-1.0;0.103;0.71;0.075;0.112;0.0
изничтожить;NGTV;-1.0;0.071;0.786;0.143;0.0;0.0
изничтожиться;NGTV;-0.86;0.05;0.61;0.23;0.11;0.0
износ;NGTV;-0.68;0.099;0.495;0.297;0.109;0.0
износить;NGTV;-0.69;0.087;0.504;0.296;0.113;0.0
износиться;NGTV;-0.91;0.036;0.627;0.204;0.133;0.0
износостойкость;PSTV;0.67;0.543;0.048;0.333;0.076;0.0
изношенность;NGTV;-0.96;0.054;0.625;0.178;0.143;0.0
изнурение;NGTV;-1.0;0.085;0.678;0.135;0.102;0.0
изнурительность;NGTV;-0.9;0.056;0.556;0.184;0.204;0.0
изнурительный;NGTV;-0.99;0.041;0.633;0.163;0.163;0.0
изнурить;NGTV;-1.0;0.086;0.657;0.086;0.171;0.0
изнуриться;NGTV;-0.79;0.078;0.534;0.242;0.146;0.0
изнурять;NGTV;-0.94;0.022;0.652;0.196;0.13;0.0
изнуряюще;NGTV;-0.98;0.036;0.679;0.178;0.107;0.0
изнурённость;NGTV;-0.92;0.051;0.595;0.189;0.165;0.0
изнывать;NGTV;-1.0;0.082;0.531;0.122;0.265;0.0
изныть;NGTV;-0.9;0.08;0.48;0.16;0.28;0.0
изобилие;PSTV;0.79;0.54;0.05;0.24;0.17;0.0
изобиловать;PSTV;0.9;0.5;0.067;0.166;0.267;0.0
изобильный;PSTV;1.0;0.611;0.083;0.139;0.167;0.0
изобличать;NGTV;-0.39;0.18;0.26;0.25;0.31;0.3
изображать;NEUT;0.0;0.178;0.044;0.734;0.044;0.0
изображаться;NEUT;0.0;0.162;0.027;0.676;0.135;0.0
изображение;NEUT;0.03;0.175;0.035;0.65;0.14;0.0
изобразитель;NEUT;0.48;0.415;0.068;0.441;0.076;0.0
изобразительность;PSTV;0.69;0.602;0.019;0.35;0.029;0.0
изобразительный;NEUT;0.5;0.455;0.027;0.454;0.064;0.0
изобразить;PSTV;0.57;0.478;0.078;0.392;0.052;0.0
изобразиться;NEUT;0.08;0.192;0.077;0.616;0.115;0.0
изобрести;PSTV;0.71;0.578;0.043;0.319;0.06;0.0
изобретатель;PSTV;0.7;0.563;0.033;0.318;0.086;0.0
изобретательница;PSTV;0.77;0.578;0.052;0.275;0.095;0.0
изобретательность;PSTV;0.92;0.744;0.023;0.233;0.0;0.0
изобретательный;PSTV;1.0;0.829;0.057;0.114;0.0;0.0
изобретательский;PSTV;0.69;0.551;0.051;0.322;0.076;0.0
изобретательство;PSTV;0.86;0.628;0.093;0.232;0.047;0.0
изобретать;PSTV;0.78;0.65;0.008;0.301;0.041;0.0
изобретение;PSTV;0.67;0.571;0.024;0.357;0.048;0.0
изовраться;NGTV;-1.0;0.037;0.741;0.185;0.037;0.0
изогнутость;NEUT;0.0;0.077;0.0;0.692;0.231;0.0
изогнуть;NEUT;0.0;0.073;0.073;0.732;0.122;0.0
изогнуться;NEUT;0.0;0.093;0.093;0.767;0.047;0.0
изодрать;NGTV;-1.0;0.054;0.676;0.162;0.108;0.0
изойти;NGTV;-0.45;0.119;0.31;0.317;0.254;0.08
изолгаться;NGTV;-0.82;0.132;0.538;0.226;0.104;0.0
изолента;NEUT;0.17;0.25;0.058;0.625;0.067;0.0
изолирование;NEUT;-0.24;0.129;0.257;0.525;0.089;0.0
изолированность;NGTV;-0.69;0.103;0.526;0.311;0.06;0.0
изолировать;NGTV;-0.59;0.059;0.462;0.361;0.118;0.0
изолироваться;NEUT;-0.33;0.122;0.301;0.488;0.089;0.0
изолятор;NGTV;-0.53;0.099;0.406;0.376;0.119;0.0
изоляционизм;NEUT;-0.31;0.09;0.26;0.44;0.21;0.0
изоляционный;NEUT;-0.11;0.042;0.208;0.604;0.146;0.0
изоляция;NGTV;-0.48;0.08;0.398;0.425;0.097;0.0
изорвать;NGTV;-0.92;0.086;0.603;0.19;0.121;0.0
изостудия;NEUT;0.31;0.223;0.078;0.379;0.32;0.0
изощрение;NEUT;-0.32;0.2;0.292;0.408;0.1;0.2
изощрять;NGTV;-0.49;0.243;0.35;0.203;0.204;0.41
изощряться;NGTV;-0.48;0.137;0.333;0.305;0.225;0.11
изощрённость;NEUT;0.34;0.28;0.22;0.322;0.178;0.32
изощрённый;NEUT;-0.27;0.24;0.24;0.34;0.18;0.38
израильтянин;NEUT;0.0;0.12;0.04;0.6;0.24;0.0
израильтянка;NEUT;0.0;0.139;0.069;0.723;0.069;0.0
изранить;NGTV;-1.0;0.036;0.786;0.142;0.036;0.0
израсходование;NGTV;-0.55;0.069;0.416;0.357;0.158;0.0
израсходовать;NGTV;-0.55;0.045;0.468;0.406;0.081;0.0
израсходоваться;NGTV;-0.83;0.048;0.595;0.238;0.119;0.0
изредка;NEUT;0.0;0.098;0.059;0.804;0.039;0.0
изрезать;NGTV;-0.65;0.12;0.48;0.313;0.087;0.0
изрезаться;NGTV;-0.8;0.117;0.485;0.214;0.184;0.0
изрекать;NEUT;0.16;0.206;0.178;0.495;0.121;0.12
изречение;NEUT;0.0;0.129;0.079;0.663;0.129;0.0
изречь;NEUT;0.05;0.194;0.028;0.667;0.111;0.0
изрешетить;NGTV;-0.63;0.165;0.447;0.252;0.136;0.11
изрисовать;NEUT;-0.31;0.164;0.284;0.449;0.103;0.1
изрубить;NGTV;-0.62;0.06;0.51;0.36;0.07;0.0
изругать;NGTV;-1.0;0.023;0.795;0.068;0.114;0.0
изрыгать;NGTV;-0.73;0.089;0.467;0.244;0.2;0.0
изрыгнуть;NGTV;-1.0;0.0;0.808;0.192;0.0;0.0
изрыть;NEUT;-0.01;0.067;0.133;0.511;0.289;0.0
изрядный;NEUT;0.31;0.23;0.19;0.31;0.27;0.29
изувечивать;NGTV;-1.0;0.057;0.714;0.143;0.086;0.0
изувечить;NGTV;-0.92;0.056;0.667;0.208;0.069;0.0
изукрасить;NEUT;0.32;0.252;0.226;0.305;0.217;0.37
изукрашивать;NEUT;0.44;0.328;0.176;0.298;0.198;0.2
изумительный;PSTV;1.0;0.825;0.032;0.064;0.079;0.0
изумить;PSTV;0.94;0.725;0.0;0.217;0.058;0.0
изумиться;PSTV;0.59;0.505;0.089;0.386;0.02;0.0
изумление;PSTV;0.69;0.547;0.075;0.321;0.057;0.0
изумлять;PSTV;0.87;0.638;0.043;0.234;0.085;0.0
изумляться;PSTV;0.94;0.68;0.04;0.2;0.08;0.0
изумруд;NEUT;0.47;0.412;0.025;0.445;0.118;0.0
изумрудик;PSTV;0.62;0.492;0.041;0.352;0.115;0.0
изумрудный;PSTV;0.57;0.485;0.053;0.394;0.068;0.0
изуродовать;NGTV;-1.0;0.112;0.768;0.048;0.072;0.0
изучать;PSTV;0.73;0.594;0.047;0.312;0.047;0.0
изучающе;NEUT;0.53;0.449;0.042;0.407;0.102;0.0
изучение;PSTV;0.8;0.615;0.058;0.269;0.058;0.0
изученность;PSTV;0.71;0.53;0.043;0.299;0.128;0.0
изучить;PSTV;0.71;0.559;0.051;0.314;0.076;0.0
изъездить;NEUT;-0.11;0.175;0.175;0.485;0.165;0.13
изъесть;NGTV;-0.48;0.059;0.297;0.317;0.327;0.0
изъявить;NEUT;0.14;0.23;0.09;0.62;0.06;0.0
изъявление;NEUT;0.04;0.16;0.094;0.567;0.179;0.0
изъявлять;NEUT;0.17;0.243;0.027;0.595;0.135;0.0
изъязвление;NGTV;-0.35;0.14;0.3;0.44;0.12;0.06
изъян;NGTV;-1.0;0.077;0.731;0.077;0.115;0.0
изъяснение;NEUT;0.27;0.272;0.078;0.514;0.136;0.0
изъяснить;NEUT;0.47;0.41;0.026;0.444;0.12;0.0
изъясниться;NEUT;0.05;0.205;0.026;0.718;0.051;0.0
изъяснять;NEUT;0.34;0.287;0.059;0.456;0.198;0.0
изъясняться;NEUT;0.0;0.171;0.029;0.686;0.114;0.0
изъятие;NGTV;-0.71;0.095;0.457;0.258;0.19;0.0
изъять;NGTV;-0.6;0.066;0.496;0.372;0.066;0.0
изымание;NGTV;-0.89;0.09;0.58;0.2;0.13;0.0
изымать;NGTV;-0.83;0.056;0.561;0.224;0.159;0.0
изыск;PSTV;0.77;0.477;0.112;0.224;0.187;0.0
изысканность;PSTV;1.0;0.8;0.02;0.14;0.04;0.0
изыскатель;NEUT;0.38;0.305;0.085;0.432;0.178;0.0
изыскательский;NEUT;0.5;0.38;0.02;0.38;0.22;0.0
изыскать;NEUT;0.33;0.257;0.178;0.337;0.228;0.22
изыскивать;NEUT;0.0;0.138;0.128;0.596;0.138;0.0
изюм;NEUT;0.43;0.403;0.065;0.5;0.032;0.0
изюмина;PSTV;0.67;0.477;0.047;0.296;0.18;0.0
изюминка;PSTV;0.95;0.724;0.017;0.207;0.052;0.0
изящество;PSTV;1.0;0.829;0.049;0.098;0.024;0.0
изящность;PSTV;0.94;0.68;0.04;0.2;0.08;0.0
изящный;PSTV;1.0;0.926;0.037;0.018;0.019;0.0
икание;NEUT;-0.29;0.165;0.27;0.452;0.113;0.1
икать;NEUT;0.21;0.234;0.198;0.478;0.09;0.17
икаться;NGTV;-0.47;0.088;0.281;0.298;0.333;0.03
икнуть;NEUT;-0.02;0.127;0.155;0.582;0.136;0.0
икона;NEUT;0.45;0.416;0.04;0.485;0.059;0.0
иконка;NEUT;0.34;0.313;0.047;0.499;0.141;0.0
иконный;NEUT;0.44;0.387;0.019;0.462;0.132;0.0
иконография;NEUT;0.43;0.314;0.059;0.382;0.245;0.0
иконописание;PSTV;0.57;0.451;0.074;0.368;0.107;0.0
иконописец;NEUT;0.43;0.376;0.04;0.465;0.119;0.0
иконописный;NEUT;0.33;0.337;0.05;0.544;0.069;0.0
иконопись;NEUT;0.0;0.121;0.061;0.576;0.242;0.0
икорка;PSTV;0.55;0.44;0.028;0.376;0.156;0.0
икота;NGTV;-0.54;0.092;0.433;0.383;0.092;0.0
икра;NEUT;0.37;0.341;0.03;0.5;0.129;0.0
икринка;NEUT;0.52;0.4;0.07;0.382;0.148;0.0
икроножный;NEUT;0.0;0.074;0.037;0.741;0.148;0.0
икс;NEUT;0.0;0.14;0.02;0.64;0.2;0.0
ил;NEUT;0.07;0.183;0.07;0.592;0.155;0.0
илистый;NEUT;-0.08;0.142;0.151;0.471;0.236;0.06
иллюзионизм;NEUT;0.22;0.2;0.1;0.43;0.27;0.0
иллюзионист;NEUT;0.15;0.238;0.024;0.619;0.119;0.0
иллюзионистка;NEUT;0.24;0.25;0.05;0.517;0.183;0.0
иллюзия;NEUT;-0.21;0.117;0.248;0.547;0.088;0.0
иллюзорность;NEUT;-0.26;0.109;0.241;0.468;0.182;0.0
иллюзорный;NEUT;0.22;0.216;0.172;0.433;0.179;0.15
иллюминатор;NEUT;0.03;0.186;0.023;0.675;0.116;0.0
иллюстративность;NEUT;0.37;0.301;0.078;0.437;0.184;0.0
иллюстративный;NEUT;0.02;0.16;0.04;0.6;0.2;0.0
иллюстратор;NEUT;0.1;0.222;0.0;0.667;0.111;0.0
иллюстрация;NEUT;0.1;0.222;0.037;0.667;0.074;0.0
иллюстрирование;NEUT;0.38;0.35;0.033;0.5;0.117;0.0
иллюстрировать;NEUT;0.07;0.2;0.0;0.66;0.14;0.0
иловый;NEUT;0.0;0.074;0.0;0.667;0.259;0.0
имбецил;NGTV;-1.0;0.034;0.759;0.173;0.034;0.0
имбирный;NEUT;0.24;0.265;0.068;0.547;0.12;0.0
имбирь;NEUT;0.23;0.282;0.043;0.59;0.085;0.0
имейл;NEUT;0.0;0.154;0.026;0.717;0.103;0.0
имение;NEUT;0.49;0.395;0.065;0.403;0.137;0.0
именинник;PSTV;0.9;0.659;0.0;0.219;0.122;0.0
именинница;PSTV;0.8;0.6;0.0;0.26;0.14;0.0
именинный;PSTV;0.73;0.515;0.015;0.27;0.2;0.0
именины;PSTV;0.93;0.65;0.025;0.2;0.125;0.0
именительный;NEUT;0.0;0.07;0.0;0.767;0.163;0.0
именитость;PSTV;0.65;0.5;0.047;0.33;0.123;0.0
именитый;PSTV;0.83;0.57;0.04;0.23;0.16;0.0
именной;NEUT;0.31;0.321;0.054;0.545;0.08;0.0
именование;NEUT;0.26;0.27;0.09;0.52;0.12;0.0
именовать;NEUT;0.04;0.192;0.038;0.674;0.096;0.0
именоваться;NEUT;0.0;0.119;0.017;0.644;0.22;0.0
иметь;NEUT;0.32;0.327;0.036;0.548;0.089;0.0
иметься;NEUT;0.32;0.256;0.068;0.42;0.256;0.0
имечко;NEUT;0.39;0.304;0.139;0.383;0.174;0.09
имидж;NEUT;0.44;0.382;0.046;0.45;0.122;0.0
имиджмейкер;NEUT;0.28;0.259;0.019;0.481;0.241;0.0
имитатор;NEUT;0.04;0.175;0.07;0.615;0.14;0.0
имитационный;NEUT;0.0;0.111;0.0;0.63;0.259;0.0
имитация;NEUT;0.0;0.129;0.065;0.612;0.194;0.0
имитирование;NEUT;0.0;0.083;0.056;0.639;0.222;0.0
имитировать;NEUT;0.0;0.103;0.077;0.641;0.179;0.0
иммигрант;NEUT;0.0;0.127;0.109;0.6;0.164;0.0
иммигрантка;NEUT;-0.02;0.137;0.147;0.549;0.167;0.0
иммиграционный;NEUT;0.0;0.05;0.1;0.675;0.175;0.0
иммиграция;NEUT;-0.14;0.191;0.191;0.479;0.139;0.17
иммигрировать;NEUT;0.08;0.179;0.036;0.571;0.214;0.0
иммобилизация;NEUT;0.1;0.13;0.08;0.39;0.4;0.0
иммунитет;PSTV;0.9;0.689;0.041;0.229;0.041;0.0
иммунный;NEUT;0.46;0.389;0.074;0.435;0.102;0.0
иммунодефицит;NGTV;-0.88;0.03;0.606;0.212;0.152;0.0
иммунология;NEUT;0.33;0.318;0.031;0.519;0.132;0.0
иммунопатология;NGTV;-0.8;0.11;0.42;0.18;0.29;0.01
император;NEUT;0.31;0.306;0.091;0.529;0.074;0.0
императорский;NEUT;0.3;0.287;0.079;0.505;0.129;0.0
императрица;NEUT;0.43;0.362;0.078;0.448;0.112;0.0
империализм;NGTV;-0.38;0.1;0.263;0.362;0.275;0.02
империалистический;NEUT;0.11;0.17;0.15;0.48;0.2;0.07
империалистский;NEUT;-0.27;0.169;0.219;0.362;0.25;0.2
империя;NEUT;0.45;0.348;0.096;0.408;0.148;0.0
имперский;NEUT;0.35;0.308;0.09;0.467;0.135;0.0
имплант;NEUT;0.24;0.238;0.057;0.486;0.219;0.0
имплантат;NEUT;0.0;0.139;0.056;0.694;0.111;0.0
имплантация;NEUT;0.23;0.23;0.08;0.48;0.21;0.0
импонировать;PSTV;1.0;0.654;0.077;0.115;0.154;0.0
импорт;NEUT;0.0;0.171;0.029;0.714;0.086;0.0
импортировать;NEUT;0.23;0.27;0.05;0.57;0.11;0.0
импортный;NEUT;0.26;0.283;0.027;0.557;0.133;0.0
импортозамещение;NEUT;0.01;0.147;0.059;0.573;0.221;0.0
импортёр;NEUT;0.16;0.21;0.048;0.532;0.21;0.0
импотентность;NGTV;-1.0;0.083;0.65;0.134;0.133;0.0
импровизатор;NEUT;0.4;0.356;0.01;0.471;0.163;0.0
импровизация;NEUT;0.51;0.458;0.017;0.45;0.075;0.0
импровизированный;NEUT;0.17;0.252;0.022;0.63;0.096;0.0
импровизировать;PSTV;0.57;0.496;0.035;0.408;0.061;0.0
импульс;NEUT;0.26;0.257;0.059;0.506;0.178;0.0
импульсивность;NGTV;-0.59;0.133;0.442;0.316;0.109;0.04
импульсивный;NEUT;-0.32;0.211;0.289;0.395;0.105;0.23
импульсный;NEUT;-0.23;0.111;0.213;0.445;0.231;0.0
имущественный;NEUT;0.0;0.1;0.0;0.633;0.267;0.0
имущество;NEUT;0.47;0.442;0.025;0.483;0.05;0.0
имущий;NEUT;0.34;0.283;0.053;0.443;0.221;0.0
имя;NEUT;0.25;0.296;0.037;0.587;0.08;0.0
инакомыслие;NEUT;0.0;0.068;0.119;0.593;0.22;0.0
инвалид;NGTV;-0.45;0.066;0.397;0.464;0.073;0.0
инвалидка;NGTV;-0.67;0.11;0.47;0.29;0.13;0.0
инвалидность;NGTV;-0.7;0.078;0.543;0.309;0.07;0.0
инвалидный;NGTV;-0.59;0.092;0.45;0.35;0.108;0.0
инвентарный;NEUT;0.07;0.186;0.017;0.611;0.186;0.0
инвентарь;NEUT;0.01;0.174;0.043;0.674;0.109;0.0
инверсионный;NEUT;0.0;0.085;0.123;0.566;0.226;0.0
инверсия;NEUT;0.0;0.063;0.143;0.731;0.063;0.0
инвестирование;NEUT;0.44;0.373;0.039;0.441;0.147;0.0
инвестировать;NEUT;0.44;0.394;0.029;0.471;0.106;0.0
инвестиционный;NEUT;0.36;0.284;0.064;0.423;0.229;0.0
инвестиция;NEUT;0.52;0.397;0.052;0.379;0.172;0.0
инвестор;NEUT;0.34;0.32;0.04;0.5;0.14;0.0
ингалятор;NEUT;0.26;0.276;0.049;0.545;0.13;0.0
ингаляционный;NEUT;0.16;0.21;0.118;0.529;0.143;0.0
ингаляция;NEUT;0.37;0.311;0.097;0.446;0.146;0.0
инглиш;NEUT;0.23;0.24;0.174;0.47;0.116;0.12
ингредиент;NEUT;0.14;0.241;0.0;0.648;0.111;0.0
индеец;NEUT;0.3;0.306;0.041;0.537;0.116;0.0
индейка;NEUT;0.05;0.194;0.028;0.667;0.111;0.0
индейский;NEUT;0.0;0.136;0.045;0.774;0.045;0.0
индекс;NEUT;0.0;0.067;0.033;0.667;0.233;0.0
индексный;NEUT;0.06;0.196;0.065;0.652;0.087;0.0
индианка;NEUT;0.0;0.157;0.059;0.666;0.118;0.0
индивид;NEUT;0.23;0.246;0.063;0.516;0.175;0.0
индивидуализация;NEUT;0.49;0.43;0.0;0.439;0.131;0.0
индивидуализировать;NEUT;0.36;0.327;0.03;0.494;0.149;0.0
индивидуализм;PSTV;0.78;0.514;0.057;0.239;0.19;0.0
индивидуалист;NEUT;0.21;0.228;0.119;0.504;0.149;0.0
